"","range","tire_size","boot_capacity","battery_capacity","width","length","maximum_speed","acceleration","mean_energy_consumption"
"3",0.538653366583541,0.857142857142857,1,1,0.362541073384447,0.97310405643739,0.615384615384615,0.16504854368932,1
"4",0.493765586034913,0.714285714285714,0.907975460122699,0.689922480620155,0.31763417305586,0.972663139329806,0.461538461538462,0.388349514563107,0.705882352941177
"5",0.745635910224439,0.714285714285714,0.907975460122699,1,0.31763417305586,0.972663139329806,0.538461538461538,0.281553398058252,0.743944636678201
"6",0.551122194513716,0.857142857142857,0.907975460122699,1,0.362541073384447,0.97310405643739,0.615384615384615,0.16504854368932,0.975778546712803
"7",0.526184538653367,0.714285714285714,0.18200408997955,0.317829457364341,0.159912376779847,0.578042328042328,0.230769230769231,0.514563106796116,0
"8",0.491271820448878,0.857142857142857,0.18200408997955,0.317829457364341,0.159912376779847,0.578042328042328,0.230769230769231,0.398058252427185,0.083044982698962
"9",0.778054862842893,0.714285714285714,0.693251533742331,0.806201550387597,0.269441401971522,0.899029982363316,0.384615384615385,0.388349514563107,0.394463667820069
"10",0.428927680798005,0.428571428571429,0.366053169734151,0.418604651162791,1,0.627425044091711,0.153846153846154,0.572815533980582,0.173010380622837
"11",0.184538653366584,0.285714285714286,0,0.231266149870801,0.117196056955093,0.528659611992945,0.115384615384615,0.601941747572815,0.283737024221453
"12",0.184538653366584,0.428571428571429,0,0.231266149870801,0.117196056955093,0.528659611992945,0.115384615384615,0.533980582524272,0.304498269896194
"13",0.406483790523691,0.285714285714286,0.380368098159509,0.267441860465116,0.191675794085433,0.782627865961199,0.269230769230769,0.689320388349515,0.0484429065743945
"14",0.351620947630923,0.428571428571429,0.329243353783231,0.27906976744186,0.169769989047097,0.654761904761905,0.192307692307692,0.669902912621359,0.131487889273356
"15",0.750623441396509,0.428571428571429,0.329243353783231,0.599483204134367,0.169769989047097,0.654761904761905,0.284615384615385,0.466019417475728,0.15916955017301
"16",0.802992518703242,0.857142857142857,0.991820040899795,0.935400516795866,0.400876232201533,0.876102292768959,0.538461538461538,0.194174757281553,0.560553633217993
"17",0.351620947630923,0.428571428571429,0.572597137014315,0.27906976744186,0.175246440306681,0.740740740740741,0.192307692307692,0.679611650485437,0.152249134948097
"18",0.765586034912718,0.428571428571429,0.572597137014315,0.599483204134367,0.175246440306681,0.740740740740741,0.284615384615385,0.485436893203883,0.193771626297578
"19",0.319201995012469,0.428571428571429,0.294478527607362,0.27906976744186,0.169769989047097,0.661375661375661,0.207692307692308,0.689320388349515,0.173010380622837
"20",0.758104738154613,0.428571428571429,0.294478527607362,0.599483204134367,0.169769989047097,0.661375661375661,0.284615384615385,0.495145631067961,0.179930795847751
"21",0.129675810473815,0.571428571428571,0.366053169734151,0.231266149870801,0.164293537787514,0.749559082892416,0.0769230769230769,0.669902912621359,0.0968858131487889
"22",0.663341645885287,0.714285714285714,0.67280163599182,0.806201550387597,0.261774370208105,0.911375661375661,0.384615384615385,0.223300970873786,0.605536332179931
"23",0.214463840399002,0.285714285714286,0.081799591002045,0.145994832041344,0.089813800657174,0.50705467372134,0.153846153846154,0.436893203883495,0.252595155709343
"24",0.304239401496259,0.285714285714286,0.539877300613497,0.289405684754522,0.156626506024097,0.791446208112875,0.107692307692308,0.495145631067961,0.373702422145329
"25",0.591022443890274,0.428571428571429,0.539877300613497,0.573643410852713,0.156626506024097,0.791446208112875,0.207692307692308,0.398058252427185,0.27681660899654
"26",0.471321695760599,0.285714285714286,0.196319018404908,0.418604651162791,0.131434830230011,0.601851851851852,0.153846153846154,0.514563106796116,0.245674740484429
"27",0.438902743142145,0.285714285714286,0.284253578732106,0.418604651162791,0.159912376779847,0.641975308641975,0.153846153846154,0.601941747572815,0.311418685121107
"28",0.478802992518703,0.285714285714286,0.286298568507157,0.418604651162791,0.109529025191676,0.599647266313933,0.153846153846154,0.514563106796116,0.228373702422145
"29",0.645885286783042,0.714285714285714,0.648261758691207,0.795865633074935,0.351588170865279,1,0.923076923076923,0.116504854368932,0.71280276816609
"30",0.785536159600998,0.714285714285714,0.648261758691207,0.979328165374677,0.351588170865279,1,0.923076923076923,0.116504854368932,0.761245674740485
"31",0.753117206982544,0.857142857142857,0.56441717791411,0.979328165374677,0.351588170865279,1,1,0.0388349514563107,0.813148788927336
"32",0.658354114713217,1,0.56441717791411,0.979328165374677,0.351588170865279,1,1,0,0.830449826989619
"33",0.615960099750623,0.142857142857143,0.341513292433538,0.444444444444444,0.155531215772179,0.612874779541446,0.0384615384615385,0.83495145631068,0.235294117647059
"34",0.615960099750623,0.285714285714286,0.341513292433538,0.444444444444444,0.155531215772179,0.612874779541446,0.0769230769230769,0.650485436893204,0.235294117647059
"35",0.27930174563591,0,0.161554192229039,0.248062015503876,0,0.397707231040564,0,0.922330097087379,0.162629757785467
"36",0.0149625935162095,0.142857142857143,0.0286298568507157,0,0.0197152245345018,0,0,0.854368932038835,0.224913494809689
"37",0,0.142857142857143,0.18200408997955,0,0.0219058050383352,0.352733686067019,0,0.961165048543689,0.269896193771626
"38",0.27431421446384,0,0.161554192229039,0.189922480620155,0,0.399029982363316,0,0.883495145631068,0.0622837370242215
"39",0.690773067331671,0.571428571428571,0.437627811860941,0.521963824289406,0.179627601314348,0.690476190476191,0.230769230769231,0.436893203883495,0.15916955017301
"40",1,0.714285714285714,0.437627811860941,0.767441860465116,0.179627601314348,0.690476190476191,0.230769230769231,0.495145631067961,0.193771626297578
"41",0.877805486284289,0.857142857142857,0.760736196319018,0.767441860465116,0.226725082146769,0.832892416225749,0.230769230769231,0.553398058252427,0.339100346020761
"42",0.204488778054863,0.285714285714286,0.883435582822086,0.418604651162791,0.301204819277108,0.839506172839506,0,1,0.837370242214533
